 | azW:1.039 | Still:0 | State:2
V:-0.007 | P:-0.001 | AccMag:1.042 | azW:1.042 | Still:0 | State:2
V:-0.005 | P:-0.001 | AccMag:1.048 | azW:1.048 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.043 | azW:1.043 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.039 | azW:1.039 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.049 | azW:1.049 | Still:1 | State:2
V:0.001 | P:0.000 | AccMag:1.046 | azW:1.046 | Still:0 | State:2
V:0.003 | P:0.000 | AccMag:1.041 | azW:1.041 | Still:0 | State:2
V:0.005 | P:0.000 | AccMag:1.036 | azW:1.036 | Still:0 | State:2
V:0.006 | P:0.000 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:0.006 | P:0.000 | AccMag:1.027 | azW:1.027 | Still:0 | State:2
V:0.005 | P:0.000 | AccMag:1.034 | azW:1.034 | Still:0 | State:2
V:0.005 | P:0.001 | AccMag:1.031 | azW:1.031 | Still:0 | State:2
V:0.006 | P:0.001 | AccMag:1.023 | azW:1.023 | Still:0 | State:2
V:0.005 | P:0.001 | AccMag:1.029 | azW:1.029 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.033 | azW:1.033 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.046 | azW:1.046 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.039 | azW:1.039 | Still:1 | State:2
V:0.000 | P:0.000 | AccMag:1.031 | azW:1.031 | Still:0 | State:2
V:0.000 | P:0.000 | AccMag:1.072 | azW:1.072 | Still:0 | State:2
V:0.005 | P:0.000 | AccMag:1.084 | azW:1.084 | Still:0 | State:2
V:0.013 | P:0.000 | AccMag:1.071 | azW:1.070 | Still:0 | State:2
V:0.020 | P:0.001 | AccMag:1.042 | azW:1.041 | Still:0 | State:2
V:0.023 | P:0.001 | AccMag:1.029 | azW:1.018 | Still:0 | State:2
V:0.018 | P:0.002 | AccMag:0.907 | azW:0.906 | Still:0 | State:2
V:0.000 | P:0.002 | AccMag:0.896 | azW:0.863 | Still:0 | State:2
V:-0.026 | P:0.001 | AccMag:0.903 | azW:0.900 | Still:0 | State:2
V:-0.052 | P:0.001 | AccMag:0.794 | azW:0.790 | Still:0 | State:2
V:-0.087 | P:-0.001 | AccMag:0.806 | azW:0.803 | Still:0 | State:2
V:-0.129 | P:-0.003 | AccMag:0.793 | azW:0.759 | Still:0 | State:2
V:-0.172 | P:-0.006 | AccMag:0.733 | azW:0.723 | Still:0 | State:2
V:-0.224 | P:-0.010 | AccMag:0.871 | azW:0.778 | Still:0 | State:2
V:-0.274 | P:-0.016 | AccMag:0.797 | azW:0.786 | Still:0 | State:2
V:-0.313 | P:-0.022 | AccMag:0.936 | azW:0.928 | Still:0 | State:2
V:-0.339 | P:-0.029 | AccMag:0.959 | azW:0.941 | Still:0 | State:2
V:-0.357 | P:-0.037 | AccMag:0.841 | azW:0.826 | Still:0 | State:2
V:-0.377 | P:-0.044 | AccMag:1.142 | azW:1.131 | Still:0 | State:2
V:-0.374 | P:-0.053 | AccMag:1.038 | azW:1.038 | Still:0 | State:2
V:-0.374 | P:-0.061 | AccMag:1.049 | azW:1.048 | Still:0 | State:2
V:-0.370 | P:-0.069 | AccMag:1.012 | azW:1.011 | Still:0 | State:2
V:-0.371 | P:-0.077 | AccMag:0.978 | azW:0.978 | Still:0 | State:2
V:-0.377 | P:-0.085 | AccMag:1.093 | azW:1.091 | Still:0 | State:2
V:-0.371 | P:-0.093 | AccMag:1.182 | azW:1.175 | Still:0 | State:2
V:-0.349 | P:-0.100 | AccMag:1.263 | azW:1.262 | Still:0 | State:2
V:-0.318 | P:-0.108 | AccMag:1.106 | azW:1.106 | Still:0 | State:2
V:-0.295 | P:-0.114 | AccMag:1.012 | azW:1.010 | Still:0 | State:2
V:-0.293 | P:-0.121 | AccMag:1.005 | azW:1.004 | Still:0 | State:2
V:-0.298 | P:-0.127 | AccMag:1.097 | azW:1.095 | Still:0 | State:2
V:-0.290 | P:-0.133 | AccMag:1.182 | azW:1.182 | Still:0 | State:2
V:-0.266 | P:-0.139 | AccMag:1.143 | azW:1.124 | Still:0 | State:2
V:-0.243 | P:-0.145 | AccMag:1.090 | azW:1.060 | Still:0 | State:2
V:-0.236 | P:-0.150 | AccMag:1.247 | azW:1.233 | Still:0 | State:2
V:-0.209 | P:-0.155 | AccMag:1.261 | azW:1.260 | Still:0 | State:2
V:-0.171 | P:-0.159 | AccMag:1.170 | azW:1.169 | Still:0 | State:2
V:-0.144 | P:-0.162 | AccMag:1.098 | azW:1.096 | Still:0 | State:2
V:-0.133 | P:-0.165 | AccMag:0.939 | azW:0.934 | Still:0 | State:2
V:-0.142 | P:-0.168 | AccMag:0.985 | azW:0.973 | Still:0 | State:2
V:-0.156 | P:-0.171 | AccMag:1.100 | azW:1.097 | Still:0 | State:2
V:-0.153 | P:-0.174 | AccMag:1.159 | azW:1.153 | Still:0 | State:2
V:-0.135 | P:-0.178 | AccMag:1.153 | azW:1.143 | Still:0 | State:2
V:-0.115 | P:-0.180 | AccMag:1.144 | azW:1.129 | Still:0 | State:2
V:-0.099 | P:-0.183 | AccMag:1.057 | azW:1.051 | Still:0 | State:2
V:-0.095 | P:-0.185 | AccMag:0.984 | azW:0.984 | Still:0 | State:2
V:-0.103 | P:-0.187 | AccMag:1.011 | azW:1.007 | Still:0 | State:2
V:-0.109 | P:-0.189 | AccMag:1.047 | azW:1.033 | Still:0 | State:2
V:-0.109 | P:-0.191 | AccMag:1.111 | azW:1.101 | Still:0 | State:2
V:-0.100 | P:-0.194 | AccMag:1.168 | azW:1.166 | Still:0 | State:2
V:-0.080 | P:-0.196 | AccMag:1.145 | azW:1.144 | Still:0 | State:2
V:-0.062 | P:-0.197 | AccMag:1.112 | azW:1.112 | Still:0 | State:2
V:-0.048 | P:-0.198 | AccMag:1.020 | azW:1.016 | Still:0 | State:2
V:-0.045 | P:-0.199 | AccMag:0.973 | azW:0.969 | Still:0 | State:2
V:-0.052 | P:-0.200 | AccMag:0.965 | azW:0.961 | Still:0 | State:2
V:-0.063 | P:-0.201 | AccMag:1.102 | azW:1.100 | Still:0 | State:2
V:-0.061 | P:-0.203 | AccMag:1.096 | azW:1.096 | Still:0 | State:2
V:-0.050 | P:-0.204 | AccMag:1.081 | azW:1.081 | Still:0 | State:2
V:-0.041 | P:-0.205 | AccMag:1.100 | azW:1.100 | Still:0 | State:2
V:-0.032 | P:-0.206 | AccMag:1.116 | azW:1.116 | Still:0 | State:2
V:-0.019 | P:-0.206 | AccMag:1.094 | azW:1.094 | Still:0 | State:2
V:-0.006 | P:-0.207 | AccMag:1.073 | azW:1.073 | Still:0 | State:2
V:0.002 | P:-0.207 | AccMag:1.055 | azW:1.055 | Still:0 | State:2
V:0.007 | P:-0.207 | AccMag:1.040 | azW:1.040 | Still:0 | State:2
V:0.008 | P:-0.206 | AccMag:1.036 | azW:1.036 | Still:0 | State:2
